date,rain,tg,sm,sp,fl
1/2/1979,0,-7.948292054,367.6258226,23.75191164,20.03
1/3/1979,0,-15.05063138,367.5670823,25.7779567,13.76
1/4/1979,0,-13.93703809,367.5016537,27.15989356,11.04
1/5/1979,0,-13.63019476,367.4675309,27.21627063,9.01
1/6/1979,0,-16.04487435,367.429222,27.2163175,8.91
1/7/1979,0,-15.51412899,367.4091551,27.21636627,8.82
1/8/1979,0,-16.86727042,367.3489253,27.21640924,6.79
1/9/1979,0,-14.48930474,367.2084051,28.36866726,5.39
1/10/1979,0,-10.71623922,367.0428658,36.9896851,5.88
1/11/1979,0,-4.276074292,366.8746883,49.46456382,5.88
1/12/1979,0,-3.06364077,366.6801109,49.48129316,5.88
1/13/1979,0,-4.70803317,366.5196023,49.70989352,5.88
1/14/1979,0,-6.441012844,366.356201,50.91386043,5.88
1/15/1979,0,-6.625417516,366.2366592,52.38054948,5.63
1/16/1979,0,-5.661823517,366.0780198,52.52901983,5.5
1/17/1979,0,-5.221986071,365.8805238,52.52904578,5.07
1/18/1979,0,-8.152123036,365.7482104,52.60285379,5.3
1/19/1979,0,-11.47465068,365.5737586,52.60287977,5.62
1/20/1979,0,-8.9856071,365.3561274,52.76382796,5.66
1/21/1979,0,-6.355226603,365.217315,60.41368997,5.76
1/22/1979,0,-4.568672702,365.0895633,62.50805961,5.82
1/23/1979,0,-5.086234127,364.918712,62.76747353,5.79
1/24/1979,0,-3.389884939,364.7376801,78.4440421,5.85
1/25/1979,0,-2.456883746,364.5308758,79.70235319,5.91
1/26/1979,0,-2.008586172,364.2458279,79.71396484,5.97
1/27/1979,0.398251592,-1.41283444,364.5649876,81.61720038,6.02
1/28/1979,26.29997115,-0.083618904,386.9998563,74.68662796,19.33
1/29/1979,3.659713598,3.004016552,390.0461385,78.0385269,43.22
1/30/1979,0,0.773960922,389.825594,86.79780728,30.3
1/31/1979,1.04E-05,-2.675119393,389.583415,87.64524873,20.06
2/1/1979,0,-1.799055922,389.3445225,89.35890093,14.96
2/2/1979,0.000106986,-3.421542322,389.0239329,95.8800037,13.03
2/3/1979,0.060176252,-1.701525135,388.7850868,97.14753979,13.04
2/4/1979,0,-0.735237013,388.4234691,97.16941756,12.18
2/5/1979,0,-1.982893016,388.1424543,98.52456459,11.88
2/6/1979,0,-2.573119679,387.782114,98.5851116,10.88
2/7/1979,0,-2.802724562,387.5270193,98.6001493,9.48
2/8/1979,0,-8.153382905,387.2825243,104.1206997,8.98
2/9/1979,0,-5.953404374,387.0034727,104.1501267,9.11
2/10/1979,0,-4.946032981,386.6071181,104.1501647,8.49
2/11/1979,0,-4.081179016,386.2280229,106.632084,7.73
2/12/1979,0,-6.403408157,385.9612064,118.7454225,8.12
2/13/1979,0.051543451,-2.016590752,385.9357348,118.6747436,8.55
2/14/1979,1.233521165,-0.134693378,386.9023668,121.229217,8.66
2/15/1979,3.745743661,0.054541409,390.1902115,123.2257608,11.03
2/16/1979,1.496217727,0.882650229,392.1082663,122.4054133,17.47
2/17/1979,0.680876605,1.024516877,392.9401375,123.1006079,24.01
2/18/1979,0.030984931,0.332727622,392.633344,123.3255481,26
2/19/1979,0,-0.733510531,392.1213522,123.3310583,23
2/20/1979,0,-1.550997287,391.6378587,123.3646297,17.49
2/21/1979,0,-5.088237663,391.100753,123.3966598,14.95
2/22/1979,0,-5.598705958,390.6073431,123.4298675,13.16
2/23/1979,0,-6.806489929,390.104244,123.4419783,11.84
2/24/1979,0,-6.794619837,389.5698148,123.4530098,10.77
2/25/1979,0,-5.852787684,389.2737566,123.7131792,10.13
2/26/1979,0,-5.629398412,388.8500152,123.7153894,9.38
2/27/1979,0,-7.53971497,388.3454396,123.7154567,9.08
2/28/1979,0,-7.999687246,387.850848,124.9218448,9.24
3/1/1979,0,-6.495216459,387.3996134,125.4967758,9.15
3/2/1979,0.010193015,-2.345576456,386.8855502,125.4164096,8.85
3/3/1979,0,-0.849496755,386.1908463,125.3981667,8.66
